"","SB","RB","SP","RP","TPA","RLD","SRL","MC","ALP","TOAA","AP","Ca-Pi","NaOH-Po","MBP"
"SB",1,0.940269349566082,0.132007499476019,0.0630311954208284,0.764186437009921,0.695079387474645,0.266706955514611,0.413072110030431,0.84374490351496,0.897012684340827,0.664095971787929,-0.832226689911851,-0.794645433757191,0.897442084682635
"RB",0.940269349566082,1,0.13708732309255,-0.132568044781837,0.681852760816918,0.852591134238458,0.465352182834377,0.423209055713207,0.798489887050985,0.853056641047686,0.682426352186278,-0.84039131036607,-0.744210760933742,0.815699943509311
"SP",0.132007499476019,0.13708732309255,1,0.397483030298226,0.681767460990794,0.0961078010745935,0.0506998853742225,0.464672700212568,0.441553791307194,0.250529312222928,0.25327830838367,-0.209718338663825,0.134303580404611,0.24489060510966
"RP",0.0630311954208284,-0.132568044781837,0.397483030298226,1,0.520970760493044,-0.505209721186981,-0.729425980295052,0.339563833389212,0.30036020118764,0.178518097337432,-0.002545361856402,0.0140327054007608,-0.223126029519023,0.352177811712411
"TPA",0.764186437009921,0.681852760816918,0.681767460990794,0.520970760493044,1,0.386766398906056,0.00149437865162246,0.616304344458514,0.876331780569781,0.787041641634538,0.569178779827196,-0.671293969476479,-0.553409372421413,0.836192821462431
"RLD",0.695079387474645,0.852591134238458,0.0961078010745935,-0.505209721186981,0.386766398906056,1,0.856403192931374,0.201741088085187,0.457847667193815,0.585055712636823,0.564492283173372,-0.619206132563478,-0.420082974812857,0.500461128953815
"SRL",0.266706955514611,0.465352182834377,0.0506998853742225,-0.729425980295052,0.00149437865162246,0.856403192931374,1,-0.0441554053316359,0.00415033412317251,0.157708940394955,0.291995698060223,-0.234752100715772,0.0457139544949484,0.0614180597036782
"MC",0.413072110030431,0.423209055713207,0.464672700212568,0.339563833389212,0.616304344458514,0.201741088085187,-0.0441554053316359,1,0.536432996500492,0.259926272016153,-0.0587582866513434,-0.389132795391197,-0.1826374584289,0.454462903740342
"ALP",0.84374490351496,0.798489887050985,0.441553791307194,0.30036020118764,0.876331780569781,0.457847667193815,0.00415033412317251,0.536432996500492,1,0.908917103624024,0.712726396023234,-0.843673016045019,-0.752522497278196,0.820657306002789
"TOAA",0.897012684340827,0.853056641047686,0.250529312222928,0.178518097337432,0.787041641634538,0.585055712636823,0.157708940394955,0.259926272016153,0.908917103624024,1,0.808053187083835,-0.846915442911972,-0.864124479270298,0.879378924735823
"AP",0.664095971787929,0.682426352186278,0.25327830838367,-0.002545361856402,0.569178779827196,0.564492283173372,0.291995698060223,-0.0587582866513434,0.712726396023234,0.808053187083835,1,-0.623339846292769,-0.608784535437875,0.63764204075111
"Ca-Pi",-0.832226689911851,-0.84039131036607,-0.209718338663825,0.0140327054007608,-0.671293969476479,-0.619206132563478,-0.234752100715772,-0.389132795391197,-0.843673016045019,-0.846915442911972,-0.623339846292769,1,0.683918529634629,-0.653659609986087
"NaOH-Po",-0.794645433757191,-0.744210760933742,0.134303580404611,-0.223126029519023,-0.553409372421413,-0.420082974812857,0.0457139544949484,-0.1826374584289,-0.752522497278196,-0.864124479270298,-0.608784535437875,0.683918529634629,1,-0.795461446819909
"MBP",0.897442084682635,0.815699943509311,0.24489060510966,0.352177811712411,0.836192821462431,0.500461128953815,0.0614180597036782,0.454462903740342,0.820657306002789,0.879378924735823,0.63764204075111,-0.653659609986087,-0.795461446819909,1
